type,id,name,gender,person,description
way,25785978,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,144149087,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,144400388,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,144554651,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,144554654,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,723794200,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,723794203,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,723794204,"Abeggstraße",F,"Luise Abegg","Stifterin und Wohltäterin, † 3.6.1880 in Wiesbaden"
way,31569151,"Adolf-Todt-Straße",M,"Adolf Todt","Vorstandsvorsitzender der Kalle AG (1886-1960)"
way,145483751,"Adolf-Todt-Straße",M,"Adolf Todt","Vorstandsvorsitzender der Kalle AG (1886-1960)"
way,145483752,"Adolf-Todt-Straße",M,"Adolf Todt","Vorstandsvorsitzender der Kalle AG (1886-1960)"
way,834807934,"Adolf-Todt-Straße",M,"Adolf Todt","Vorstandsvorsitzender der Kalle AG (1886-1960)"
way,147098647,"Alexandrastraße",F,"Alexandra Laux","Frau des Bauunternehmers Otto Laux"
way,131586154,"Aloys-Kunz-Weg",M,"Aloys Kunz","Naturheilpraktiker (1869-1940)"
way,64677820,"Alwinenstraße",F, "Alwine Seyd","Frau des Bauunternehmers Josef Seyd"
way,130744740,"Alwinenstraße",F,"Alwine Seyd","Frau des Bauunternehmers Josef Seyd"
way,145310118,"Alwinenstraße",F,"Alwine Seyd","Frau des Bauunternehmers Josef Seyd"
way,903730747,"Angelika-Thiels-Straße",F,"Angelika Thiels","Ehemalige Stadtverordnetenvorsteherin"
way,963424299,"Angelika-Thiels-Straße",F,"Angelika Thiels","Ehemalige Stadtverordnetenvorsteherin"
way,24468398,"Anton-Jäger-Straße",M,"Anton Jäger","Evangelischer Pfarrer"
way,24468399,"Anton-Jäger-Straße",M,"Anton Jäger","Evangelischer Pfarrer"
way,145128114,"Bachmayerstraße",M,"Christoph Joseph Bachmayer","Wohltäter der Stadt Wiesbaden (1816-1887)"
way,97267117,"Bernhard-Schwarz-Straße",M,"Philip Bernhard Schwarz","Pfarrer und Kirchenbauer der Rokokokirche in Wiesbaden-Schierstein"
way,146462980,"Bernhard-Schwarz-Straße",M,"Philip Bernhard Schwarz","Pfarrer und Kirchenbauer der Rokokokirche in Wiesbaden-Schierstein"
way,166443222,"Bernhard-Schwarz-Straße",M,"Philip Bernhard Schwarz","Pfarrer und Kirchenbauer der Rokokokirche in Wiesbaden-Schierstein"
way,31719648,"Bertramstraße",M,"Philipp Anton Maria Bertram","Jurist, Stadtverordneter und Ehrenbürger Wiesbadens"
way,144049423,"Bertramstraße",M,"Philipp Anton Maria Bertram","Jurist, Stadtverordneter und Ehrenbürger Wiesbadens"
way,64496944,"Bornhofenweg",M,"Johannes Bornhofen","Wiesbadener Stadtvermessungs-Inspektor (1859-1908)"
way,145128155,"Bornhofenweg",M,"Johannes Bornhofen","Wiesbadener Stadtvermessungs-Inspektor (1859-1908)"
way,182101505,"Bornhofenweg",M,"Johannes Bornhofen","Wiesbadener Stadtvermessungs-Inspektor (1859-1908)"
way,182101506,"Bornhofenweg",M,"Johannes Bornhofen","Wiesbadener Stadtvermessungs-Inspektor (1859-1908)"
way,296952151,"Bornhofenweg",M,"Johannes Bornhofen","Wiesbadener Stadtvermessungs-Inspektor (1859-1908)"
way,334699216,"Bornhofenweg",M,"Johannes Bornhofen","Wiesbadener Stadtvermessungs-Inspektor (1859-1908)"
way,334699218,"Bornhofenweg",M,"Johannes Bornhofen","Wiesbadener Stadtvermessungs-Inspektor (1859-1908)"
