name,source,gender,wikidata,type
Albertstraße,wikidata,+,Q1596519;Q107419964,way
Adelheidstraße,wikidata,F,Q266195,way
Anne-Frank-Straße,wikidata,F,Q4583,way
Augustastraße,wikidata,F,Q57541,way
Auguste-Viktoria-Straße,wikidata,F,Q161247,way
Berberichstraße,wikidata,F,Q107559905,way
Bertha-von-Suttner-Straße,wikidata,F,Q18456,way
Carla-Henius-Straße,wikidata,F,Q109644,way
Charlotte-Posenenske-Straße,wikidata,F,Q1067301,way
Christa-Moering-Platz,wikidata,F,Q1078131,way
Eleonorenstraße,wikidata,F,Q62549,way
Elisabethenstraße,wikidata,F,Q159862,way
Elise-Kirchner-Straße,wikidata,F,Q94761932,way
Elsa-Brändström-Straße,wikidata,F,Q469673,way
Fanny-Lewald-Straße,wikidata,F,Q77318,way
Franziska-Retzinger-Promenade,wikidata,F,Q107552082,way
Gabriele-Münter-Straße,wikidata,F,Q463978,way
Gertrud-Bäumer-Straße,wikidata,F,Q71416,way
Helen-Keller-Straße,wikidata,F,Q38203,way
Helenenstraße,wikidata,F,Q64553,way
Herminenstraße,wikidata,F,Q1613615,way
Hertha-Genzmer-Straße,wikidata,F,Q1614682,way
Hildastraße,wikidata,F,Q236176,way
Imaginastraße,wikidata,F,Q462848,way
Irenenstraße,wikidata,F,Q233990,way
Käthe-Kollwitz-Straße,wikidata,F,Q142472,way
"Kleine Berberichstraße",wikidata,F,Q107559905,way
Liane-Synek-Straße,wikidata,F,Q1822712,way
Luisenplatz,wikidata,F,Q66535,way
Luisenstraße,wikidata,F,Q156723,way
Maria-Sibylla-Merian-Straße,wikidata,F,Q62530,way
Marie-Curie-Straße,wikidata,F,Q7186,way
Marie-Juchacz-Straße,wikidata,F,Q85820,way
Marienplatz,wikidata,F,Q345,way
Mathildenstraße,wikidata,F,Q63082,way
Paulinenstraße,wikidata,F,Q236501,way
Simone-Veil-Straße,wikidata,F,Q298180,way
Viktoria-Luise-Straße,wikidata,F,Q57529,way
Viktoriastraße,wikidata,F,Q116728,way
Abraham-Lincoln-Park,wikidata,M,Q91,way
Abraham-Lincoln-Straße,wikidata,M,Q91,way
Adalbert-Stifter-Straße,wikidata,M,Q168542,way
Admiral-Scheer-Straße,wikidata,M,Q57612,way
Adolfsallee,wikidata,M,Q57302,way
Adolfsberg,wikidata,M,Q57302,way
Adolfsgäßchen,wikidata,M,Q160101,way
Adolfstraße,wikidata,M,Q57302,way
Alban-Köhler-Straße,wikidata,M,Q95293,way
Albert-Schweitzer-Allee,wikidata,M,Q49325,way
Albert-Schweitzer-Platz,wikidata,M,Q49325,way
Albrecht-Dürer-Straße,wikidata,M,Q5580,way
Albrechtstraße,wikidata,M,Q55192879,way
Alcide-de-Gasperi-Straße,wikidata,M,Q153832,way
Alexander-von-Engelberg-Straße,wikidata,M,Q1170380,way
Alfons-Paquet-Straße,wikidata,M,Q98701,way
Alfred-Delp-Straße,wikidata,M,Q61305,way
Altdorferstraße,wikidata,M,Q153746,way
Andreas-Hofer-Straße,wikidata,M,Q11697,way
Andreas-Schlüter-Straße,wikidata,M,Q500465,way
Anton-Günther-Straße,wikidata,M,Q589904,way
Anton-Hehn-Straße,wikidata,M,Q107567726,way
Anton-von-Werner-Weg,wikidata,M,Q77324,way
Arminiusweg,wikidata,M,Q68880,way
Arndtstraße,wikidata,M,Q57351,way
August-Bebel-Straße,wikidata,M,Q76520,way
August-Lutz-Brücke,wikidata,M,Q94788026,way
Balthasar-Neumann-Straße,wikidata,M,Q61349,way
Barnayweg,wikidata,M,Q539931,way
Beethovenstraße,wikidata,M,Q255,way
Begasweg,wikidata,M,Q603105,way
Behringstraße,wikidata,M,Q76425,way
Benzstraße,wikidata,M,Q40224,way
Berlepschweg,wikidata,M,Q61590,way
Berlichingenstraße,wikidata,M,Q61839,way
Bernhard-May-Straße,wikidata,M,Q108114750,way
Bert-Brecht-Straße,wikidata,M,Q38757,way
Bismarckring,wikidata,M,Q8442,way
Blücherplatz,wikidata,M,Q153522,way
Blücherstraße,wikidata,M,Q153522,way
Blumenthalstraße,wikidata,M,Q69748,way
Böcklinweg,wikidata,M,Q123071,way
Bodenstedtstraße,wikidata,M,Q77645,way
Boelckestraße,wikidata,M,Q57716,way
Bonifatiusplatz,wikidata,M,Q160445,way
Brahmsweg,wikidata,M,Q7294,way
Breitenbachstraße,wikidata,M,Q92200,way
Brentanostraße,wikidata,M,Q57235,way
Brucknerweg,wikidata,M,Q81752,way
Büchnerstraße,wikidata,M,Q154014,way
Bülowstraße,wikidata,M,Q63023,way
Bunsenstraße,wikidata,M,Q94847361,way
Bürgelstraße,wikidata,M,Q104253,way
Calvinstraße,wikidata,M,Q37577,way
Camozzistraße,wikidata,M,Q107552213,way
Carl-Bosch-Straße,wikidata,M,Q76606,way
Carl-Schuricht-Straße,wikidata,M,Q215798,way
Carl-von-Ibell-Weg,wikidata,M,Q1037043,way
