name,source,gender,wikidata,type
Aarstraße,wikidata,,Q301029,way
Ahornstraße,wikidata,,Q42292,way
Ahornweg,wikidata,,Q42292,way
"Am Kaiser-Friedrich-Bad",wikidata,,Q1494272,way
"Am Römertor",wikidata,,Q1739559,way
"Am Warmen Damm",wikidata,,Q1668308,way
"An der Igstadter Straße",wikidata,,Q316754,way
"An der Kieskaut",wikidata,,Q504874,way
"An der Ringkirche",wikidata,,Q463806,way
"An der Taunusbahn",wikidata,,Q882275,way
Arizonastraße,wikidata,,Q816,way
"Assmannshäuser Straße",wikidata,,Q317535,way
"Bischofsheimer Straße",wikidata,,Q624456,way
"Bregenzer Straße",wikidata,,Q1737,way
Brunhildenstraße,wikidata,,Q850506,way
Burgunderstraße,wikidata,,Q150412,way
Californiastraße,wikidata,,Q99,way
Camozzistraße,wikidata,,Q107552213,way
Castellumstraße,wikidata,,Q18286569,way
"Charlottenburger Straße",wikidata,,Q162049,way
Cheruskerweg,wikidata,,Q268307,way
"Colmarer Straße",wikidata,,Q130994,way
Costloffstraße,wikidata,,Q1136517,way
"Danziger Straße",wikidata,,Q1792,way
"Darmstädter Landstraße",wikidata,,Q2973,way
Dillstraße,wikidata,,Q377603,way
Dornfelderweg,wikidata,,Q1245736,way
"Dotzheimer Straße",wikidata,,Q574373,way
"Eberbacher Straße",wikidata,,Q697766,way
Eckernfördestraße,wikidata,,Q479762,way
"Eibinger Straße",wikidata,,Q452493,way
Eichenstraße,wikidata,,Q33036816,way
"Elsässer Platz",wikidata,,Q1142,way
"Elsässer Straße",wikidata,,Q1142,way
"Eltviller Straße",wikidata,,Q275193,way
"Emser Straße",wikidata,,Q490670,way
"Erbacher Straße",wikidata,,Q1348194,way
Eschbornstraße,wikidata,,Q569648,way
Etzelstraße,wikidata,,Q5850202,way
"Faaker Straße",wikidata,,Q19932786,way
Fichtelgebirgsstraße,wikidata,,Q157728,way
"Fischbacher Straße",wikidata,,Q1419741,way
Flandernstraße,wikidata,,Q234,way
"Flensburger Straße",wikidata,,Q3798,way
Floridastraße,wikidata,,Q812,way
"Flörsheimer Straße",wikidata,,Q622593,way
Flößerweg,wikidata,,Q22819,way
"Föhrer Straße",wikidata,,Q3127,way
"Fondetter Straße",wikidata,,Q527676,way
"Frankfurter Straße",wikidata,,Q1794,way
Freesienweg,wikidata,,Q157392,way
"Geisenheimer Straße",wikidata,,Q558516,way
Gerlitzenstraße,wikidata,,Q476184,way
Geschwister-Scholl-Straße,wikidata,,Q566212,way
Geschwister-Stock-Platz,wikidata,,Q1518095,way
Glacisweg,wikidata,,Q948008,way
Glarusstraße,wikidata,,Q63912,way
"Gleiwitzer Straße",wikidata,,Q105084,way
Goldparmänenweg,wikidata,,Q353078,way
"Grazer Straße",wikidata,,Q13298,way
"Grorother Straße",wikidata,,Q90730872,way
"Gustavsburger Straße",wikidata,,Q639519,way
Habsburgerstraße,wikidata,,Q65968,way
"Hagenauer Straße",wikidata,,Q22730,way
"Hallgarter Straße",wikidata,,Q1571700,way
Harzstraße,wikidata,,Q4186,way
"Hattenheimer Straße",wikidata,,Q1589004,way
"Helgoländer Straße",wikidata,,Q3038,way
"Hochheimer Straße",wikidata,,Q632750,way
"Höchster Straße",wikidata,,Q132499,way
Hohenstaufenstraße,wikidata,,Q130875,way
"Homburger Straße",wikidata,,Q4165,way
Hunsrückstraße,wikidata,,Q311234,way
"Idsteiner Straße",wikidata,,Q525659,way
"Igstadter Straße",wikidata,,Q316754,way
"Im Fort Montebello",wikidata,,Q3077946,way
Ingrid-Marie-Weg,wikidata,,Q486425,way
"Innsbrucker Straße",wikidata,,Q1735,way
Jacob-Lebel-Weg,wikidata,,Q280823,way
"Johannisberger Straße",wikidata,,Q1698901,way
"Juister Straße",wikidata,,Q24846,way
"K 647 Sonnenberger Straße",wikidata,,Q478103,way
Kapellenstraße,wikidata,,Q125229,way
Karawankenstraße,wikidata,,Q198007,way
"Karlsbader Platz",wikidata,,Q384544,way
"Karlsruher Straße",wikidata,,Q1040,way
"Kärntner Straße",wikidata,,Q37985,way
"Kasteler Straße",wikidata,,Q567545,way
"Kauber Straße",wikidata,,Q540860,way
Kellerskopfstraße,wikidata,,Q1738262,way
"Kiedricher Straße",wikidata,,Q627351,way
Kiefernstraße,wikidata,,Q59668787,way
"Klagenfurter Ring",wikidata,,Q41753,way
"Klagenfurter Straße",wikidata,,Q41753,way
"Klarenthaler Straße",wikidata,,Q553466,way
"Kleine Frankfurter Straße",wikidata,,Q1794,way
"Kleine Schwalbacher Straße",wikidata,,Q522541,way
"Kleine Taunusstraße",wikidata,,Q158884,way
Konrad-Schollmayer-Straße,wikidata,,Q107552139,way
"Kostheimer Landstraße",wikidata,,Q478710,way
Lahnstraße,wikidata,,Q103148,way
"Langenhainer Straße",wikidata,,Q826809,way
"Langeooger Straße",wikidata,,Q25129,way
"Leipziger Straße",wikidata,,Q2079,way
Lesselallee,wikidata,,Q107552182,way
"Liegnitzer Straße",wikidata,,Q106274,way
Limesstraße,wikidata,,Q146924,way
"Linzer Straße",wikidata,,Q41329,way
Lohengrinstraße,wikidata,,Q23085,way
"Lorcher Straße",wikidata,,Q625783,way
Loreleiring,wikidata,,Q4168,way
"Lothringer Straße",wikidata,,Q1137,way
Maaraue,wikidata,,Q1882258,way
Maaraustraße,wikidata,,Q1882258,way
Mainstraße,wikidata,,Q1670,way
Mainufer,wikidata,,Q1670,way
"Mainzer Straße",wikidata,,Q1720,way
Majoranweg,wikidata,,Q22694,way
"Malmedyer Straße",wikidata,,Q159838,way
"Mannheimer Straße",wikidata,,Q2119,way
Marcobrunnerstraße,wikidata,,Q1304302,way
Margeritenweg,wikidata,,Q21040,way
"Marienthaler Straße",wikidata,,Q570476,way
Markomannenplatz,wikidata,,Q209851,way
Marktstraße,wikidata,,Q13592976,way
"Massenheimer Straße",wikidata,,Q1907517,way
Maulbeerweg,wikidata,,Q44789,way
Mauritiusplatz,wikidata,,Q1567223,way
Mauritiusstraße,wikidata,,Q1567223,way
"Medenbacher Straße",wikidata,,Q880733,way
"Metzer Straße",wikidata,,Q22690,way
Mississippistraße,wikidata,,Q1494,way
"Mittelheimer Straße",wikidata,,Q1940156,way
Mosburgstraße,wikidata,,Q1948880,way
Moselstraße,wikidata,,Q1667,way
"Mülhausener Straße",wikidata,,Q79815,way
"Münchener Straße",wikidata,,Q1726,way
"Neuköllner Straße",wikidata,,Q169492,way
New-York-Straße,wikidata,,Q1384,way
Nibelungenstraße,wikidata,,Q1093934,way
"Niedernhausener Straße",wikidata,,Q427360,way
Niederwaldstraße,wikidata,,Q1988719,way
